title,genres,vote_average,adult,runtime
Toy Story,"Animation, Comedy, Family",7.7,False,81.0
Jumanji,"Adventure, Fantasy, Family",6.9,False,104.0
Grumpier Old Men,"Romance, Comedy",6.5,False,101.0
Waiting to Exhale,"Comedy, Drama, Romance",6.1,False,127.0
Father of the Bride Part II,Comedy,5.7,False,106.0
Heat,"Action, Crime, Drama, Thriller",7.7,False,170.0
Sabrina,"Comedy, Romance",6.2,False,127.0
Tom and Huck,"Action, Adventure, Drama, Family",5.4,False,97.0
Sudden Death,"Action, Adventure, Thriller",5.5,False,106.0
GoldenEye,"Adventure, Action, Thriller",6.6,False,130.0
The American President,"Comedy, Drama, Romance",6.5,False,106.0
Dracula: Dead and Loving It,"Comedy, Horror",5.7,False,88.0
Balto,"Family, Animation, Adventure",7.1,False,78.0
Nixon,"History, Drama",7.1,False,192.0
Cutthroat Island,"Action, Adventure",5.7,False,119.0
Casino,"Drama, Crime",7.8,False,178.0
Sense and Sensibility,"Drama, Romance",7.2,False,136.0
Four Rooms,"Crime, Comedy",6.5,False,98.0
Ace Ventura: When Nature Calls,"Crime, Comedy, Adventure",6.1,False,90.0
Money Train,"Action, Comedy, Crime",5.4,False,103.0
Get Shorty,"Comedy, Thriller, Crime",6.4,False,105.0
Copycat,"Drama, Thriller",6.5,False,124.0
Assassins,"Action, Adventure, Crime, Thriller",6.0,False,132.0
Powder,"Drama, Fantasy, Science Fiction, Thriller",6.3,False,111.0
Leaving Las Vegas,"Drama, Romance",7.1,False,112.0
Othello,Drama,7.0,False,123.0
Now and Then,"Comedy, Drama, Family",6.6,False,100.0
Persuasion,"Drama, Romance",7.4,False,104.0
The City of Lost Children,"Fantasy, Science Fiction, Adventure",7.6,False,108.0
Shanghai Triad,"Drama, Crime",6.5,False,108.0
Dangerous Minds,"Drama, Crime",6.4,False,99.0
Twelve Monkeys,"Science Fiction, Thriller, Mystery",7.4,False,129.0
Wings of Courage,"Romance, Adventure",6.8,False,50.0
Babe,"Fantasy, Drama, Comedy, Family",6.0,False,89.0
Carrington,"History, Drama, Romance",6.4,False,121.0
Dead Man Walking,Drama,7.3,False,122.0
Across the Sea of Time,"Adventure, History, Drama, Family",3.5,False,51.0
It Takes Two,"Comedy, Family, Romance",6.1,False,101.0
Clueless,"Comedy, Drama, Romance",6.9,False,97.0
"Cry, the Beloved Country",Drama,6.7,False,106.0
Richard III,"Drama, War",6.9,False,104.0
Dead Presidents,"Action, Crime, Drama, History",6.6,False,119.0
Restoration,"Drama, Romance",6.3,False,117.0
Mortal Kombat,"Action, Fantasy",5.4,False,101.0
To Die For,"Fantasy, Drama, Comedy, Thriller",6.7,False,106.0
How To Make An American Quilt,"Drama, Romance",6.5,False,116.0
Se7en,"Crime, Mystery, Thriller",8.1,False,127.0
Pocahontas,"Adventure, Animation, Drama, Family",6.7,False,81.0
When Night Is Falling,"Drama, Romance",5.9,False,96.0
The Usual Suspects,"Drama, Crime, Thriller",8.1,False,106.0
Guardian Angel,"Action, Thriller, Drama",6.3,False,93.0
Mighty Aphrodite,"Comedy, Romance",6.7,False,95.0
Lamerica,"Drama, Foreign",7.7,False,116.0
The Big Green,"Action, Adventure, Comedy, Family",5.2,False,100.0
Georgia,Drama,6.1,False,115.0
Kids of the Round Table,,3.0,False,89.0
Home for the Holidays,"Comedy, Drama, Romance",6.3,False,103.0
The Postman,"Comedy, Drama, Romance",7.6,False,108.0
The Confessional,"Thriller, Drama, Mystery",6.5,False,100.0
The Indian in the Cupboard,"Adventure, Family, Fantasy",5.9,False,96.0
Eye for an Eye,"Drama, Thriller",5.8,False,101.0
Mr. Holland's Opus,"Music, Drama, Family",6.9,False,137.0
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,Comedy,6.2,False,89.0
Two If by Sea,"Comedy, Romance",4.5,False,96.0
Bio-Dome,Comedy,4.4,False,88.0
